,item_id,interaction
602,12491,60
603,2809,60
604,2724,283
605,28639,11
606,22203,49
607,11267,48
608,22204,32
609,33475,15
610,15006,18
611,1413,36
612,2723,57
613,2725,69
614,2909,55
615,5139,30
616,2737,15
617,10174,25
618,3308,12
619,2377,7
620,17039,52
621,2407,24
622,828,19
623,693,21
624,2357,19
625,14828,29
626,3399,129
627,1969,84
628,3189,40
629,3008,37
630,2843,8
631,2667,41
632,27682,48
633,2710,98
634,2712,70
635,2405,9
636,2406,8
637,2422,8
638,2329,11
639,2363,9
640,9777,14
641,2834,23
642,2835,49
643,2836,21
644,3090,40
645,3092,40
646,2817,50
647,2747,57
648,2833,34
649,11357,52
650,2832,33
651,2950,43
652,11230,26
653,11358,41
654,11359,30
655,11360,44
656,3167,186
657,3168,76
658,2964,100
659,5152,183
660,2704,100
661,3252,33
662,3243,31
663,3244,31
664,3001,20
665,787,23
666,904,20
667,2729,19
668,2730,25
669,690,23
670,768,24
671,775,12
672,879,9
673,2816,6
674,762,28
675,2958,68
676,845,89
677,2853,65
678,2787,54
679,3211,25
680,3210,54
681,9903,45
682,2683,37
683,3314,7
684,9900,18
685,603,130
686,607,37
687,606,28
688,2878,42
689,748,79
690,2682,15
691,3109,25
692,2871,35
693,3214,20
694,638,30
695,3215,28
696,645,22
697,3209,46
698,2854,90
699,556,35
700,2910,67
701,31230,9
702,16928,18
703,7551,20
704,3066,24
705,3153,41
706,2872,26
707,3154,13
708,3212,9
709,3133,38
710,3221,10
711,2688,252
712,2774,51
713,2776,67
714,2777,71
715,9872,70
716,9873,32
717,848,52
718,3162,18
719,34432,46
720,2709,129
721,2711,71
722,3157,41
723,2762,101
724,13198,18
725,3156,42
726,2911,58
727,330,15
728,3335,11
729,3187,8
730,866,29
731,2706,81
732,2918,78
733,2707,80
734,2695,57
735,2694,58
736,2693,60
737,2976,68
738,2696,52
739,2763,51
740,2689,75
741,3253,77
742,3254,72
743,2691,100
744,7150,51
745,7151,45
746,12704,20
747,12705,13
748,3326,7
749,3301,45
750,3297,23
751,3258,23
752,2916,10
753,2914,29
754,1040,77
755,16684,46
756,15910,23
757,17373,18
758,26864,21
759,17322,16
760,12989,130
761,3526,38
762,3667,69
763,3668,262
764,36601,3
765,20296,9
766,20301,7
767,12258,6
768,20303,6
769,1363,45
770,4468,16
771,4432,29
772,15136,18
773,3579,8
774,10612,15
775,1644,24
776,7314,35
777,3776,42
778,3643,98
779,2772,77
780,3642,61
781,15478,132
782,3692,745
783,3656,39
784,3665,191
785,3773,79
786,963,48
787,3722,32
788,3695,27
789,3663,20
790,393,104
791,3720,177
792,3770,42
793,3742,90
794,3739,94
795,457,156
796,3743,392
797,455,101
798,425,185
799,3676,59
800,3697,27
801,447,176
802,3709,99
803,3751,201
804,2272,86
805,3616,258
806,3716,79
807,3701,36
808,3691,25
809,3422,140
810,3707,141
811,2768,53
812,3627,29
813,8825,60
814,3672,28
815,458,458
816,441,122
817,3632,73
818,3653,68
819,1468,155
820,3664,362
821,3731,21
822,3734,37
823,12818,95
824,406,146
825,12444,106
826,3766,25
827,3778,115
828,407,372
829,3767,39
830,3699,46
831,3755,49
832,3706,169
833,3764,58
834,3762,35
835,1105,91
836,3633,139
837,6326,131
838,3650,213
839,3754,36
840,3675,136
841,426,133
842,3628,77
843,391,135
844,3624,115
845,390,136
846,6317,78
847,3678,32
848,8359,64
849,3740,70
850,2190,82
851,3726,157
852,1516,157
853,6231,87
854,3659,94
855,417,119
856,3685,154
857,2268,168
858,3662,236
859,3635,142
860,3617,48
861,3681,51
862,3637,253
863,3660,41
864,3836,10
865,3303,13
866,2330,16
867,642,25
868,4281,10
869,3783,13
870,36657,13
871,4282,19
872,3807,11
873,3811,12
874,840,33
875,2421,23
876,682,35
877,4150,20
878,2409,26
879,2404,16
880,3119,68
881,3146,26
882,766,20
883,881,18
884,641,17
885,878,14
886,806,17
887,730,17
888,4114,15
889,19045,16
890,3907,16
891,4850,37
892,36595,15
893,2760,10
894,16020,9
895,2877,52
896,3179,18
897,13203,8
898,3137,4
899,4162,16
900,3790,16
901,4223,12
902,3794,10
903,3785,13
904,3814,8
905,3816,12
906,3804,12
907,3782,12
908,3803,10
909,16881,26
910,16899,33
911,3230,31
912,3372,44
913,16839,36
914,3116,16
915,3117,16
916,3180,20
917,3181,15
918,3182,16
919,3260,10
920,23929,6
921,23930,4
922,23931,9
923,23932,7
924,4155,7
925,23933,6
926,23934,7
927,4280,18
928,4124,9
929,4283,13
930,4284,9
931,4285,10
932,3862,8
933,2343,13
934,636,12
935,13197,15
936,13199,14
937,13200,7
938,13201,27
939,4119,15
940,16025,14
941,3302,21
942,3304,17
943,3306,23
944,3027,46
945,3084,44
946,7256,41
947,3123,45
948,7257,32
949,7258,53
950,5175,32
951,3079,29
952,7259,36
953,7260,30
954,3934,29
955,7261,29
956,4478,12
957,4467,7
958,4430,14
959,4480,24
960,4479,22
961,4488,3
962,4487,3
963,4489,7
964,11599,4
965,10412,2
966,12380,4
967,37013,2
968,10423,3
969,10411,4
970,11957,2
971,12432,4
972,46343,5
973,20298,12
974,14131,23
975,11867,4
976,45527,3
977,11934,3
978,11673,5
979,3578,24
980,2927,26
981,566,47
982,498,64
983,567,29
984,564,35
985,19371,42
986,565,180
987,562,35
988,563,178
989,7545,106
990,7546,84
991,7547,78
992,887,56
993,7548,60
994,7549,71
995,7555,30
996,7556,28
997,7557,78
998,7558,54
999,7559,46
1000,7560,42
1001,7561,31
1002,7562,77
1003,7563,30
1004,7544,37
1005,8626,73
1006,8625,121
1007,2642,92
1008,8787,43
1009,8786,90
1010,6036,26
1011,6037,27
1012,6038,32
1013,6039,28
1014,6033,22
1015,6035,19
1016,8785,30
1017,8580,101
1018,5606,102
1019,8617,94
1020,8571,81
1021,8784,78
1022,11180,67
1023,408,239
1024,8048,28
1025,25812,27
1026,33328,4
1027,7058,37
1028,8820,78
1029,8274,113
1030,7971,66
1031,10858,30
1032,8273,43
1033,7982,59
1034,8050,32
1035,7336,50
1036,8068,37
1037,7975,63
1038,3591,86
1039,8069,34
1040,3592,45
1041,3593,46
1042,3594,37
1043,6228,28
1044,6226,35
1045,7974,59
1046,8170,46
1047,15943,37
1048,12614,30
1049,16713,25
1050,15949,14
1051,10160,82
1052,16714,25
1053,16715,12
1054,16716,16
1055,4982,48
1056,4983,74
1057,4984,30
1058,4985,43
1059,4986,35
1060,4987,27
1061,4988,32
1062,19046,26
1063,18952,8
1064,18944,80
1065,10278,76
1066,18945,73
1067,10104,79
1068,520,161
1069,18556,64
1070,11595,53
1071,514,168
1072,5002,127
1073,4473,192
1074,5018,51
1075,13189,18
1076,13180,33
1077,13181,11
1078,13190,39
1079,7809,27
1080,12969,12
1081,13188,16
1082,13187,7
1083,13182,11
1084,13185,28
1085,5777,17
1086,13060,9
1087,13125,4
1088,13095,9
1089,13183,7
1090,12872,8
1091,13191,6
1092,13184,6
1093,13186,3
1094,5041,22
1095,5042,77
1096,5043,18
1097,5044,21
1098,5045,55
1099,5046,21
1100,5047,18
1101,5048,15
1102,5049,9
1103,5050,73
1104,2130,107
1105,16195,76
1106,14021,10
1107,4894,58
1108,5011,53
1109,5012,55
1110,5013,24
1111,5014,28
1112,5015,27
1113,5016,52
1114,4470,15
1115,4471,21
1116,4472,10
1117,4474,42
1118,4477,16
1119,4475,15
1120,4476,19
1121,5161,97
1122,5081,23
1123,5084,136
1124,5085,90
1125,5086,71
1126,5087,61
1127,5146,53
1128,1047,76
1129,3631,406
1130,5147,186
1131,5140,25
1132,5138,19
1133,5094,14
1134,5095,25
1135,4219,46
1136,1151,15
1137,1148,24
1138,2391,68
1139,2384,38
1140,5069,21
1141,5070,19
1142,5071,17
1143,5072,18
1144,5073,29
1145,5074,11
1146,1038,181
1147,5075,195
1148,5076,30
1149,5077,19
1150,3482,63
1151,3483,89
1152,5162,89
1153,3484,192
1154,3485,90
1155,5163,89
1156,5164,75
1157,5165,81
1158,5166,69
1159,5167,78
1160,5136,33
1161,5096,52
1162,5097,87
1163,5098,47
1164,5099,50
1165,5100,31
1166,5101,26
1167,5102,63
1168,4977,22
1169,5180,139
1170,5148,25
1171,792,146
1172,5149,132
1173,5150,133
1174,5155,79
1175,5159,98
1176,5156,27
1177,5151,110
1178,5153,121
1179,5154,113
1180,706,122
1181,5158,143
1182,5141,6
1183,5142,27
1184,5143,44
1185,5144,45
1186,5124,13
1187,800,33
1188,680,60
1189,5127,75
1190,5130,27
1191,5131,78
1192,5132,60
1193,5133,15
1194,5134,20
1195,5135,23
1196,5255,22
1197,919,72
1198,5283,21
1199,583,47
1200,5328,12
1201,1140,13
1202,5597,48
1203,17861,37
1204,22405,13
1205,584,23
1206,5392,13
1207,5323,12
1208,13502,100
1209,13126,21
1210,4566,72
1211,5402,7
1212,5311,38
1213,5361,8
1214,20463,16
1215,1154,27
1216,5276,335
1217,5390,11
1218,15952,9
1219,5385,44
1220,8231,28
1221,561,42
1222,11286,61
1223,38207,9
1224,5398,4
1225,19868,9
1226,5351,13
1227,533,72
1228,5300,29
1229,23109,10
1230,7594,64
1231,5590,6
1232,5309,17
1233,3192,18
1234,8948,42
1235,6409,46
1236,18745,35
1237,6407,38
1238,1782,45
1239,11049,89
1240,10918,7
1241,46673,1
1242,22648,377
1243,22638,251
1244,9132,288
1245,22649,194
1246,22650,183
1247,34425,164
1248,34426,216
1249,34427,193
1250,34428,143
1251,34429,173
1252,6280,337
1253,16696,53
1254,24386,4
1255,5814,26
1256,6279,216
1257,29413,10
1258,29404,8
1259,29254,8
1260,19011,8
1261,5911,115
1262,1503,70
1263,22850,39
1264,9658,85
1265,1108,29
1266,9660,38
1267,5735,128
1268,5695,38
1269,1806,27
1270,1020,27
1271,5740,98
1272,24418,84
1273,7523,26
1274,17668,53
1275,2638,10
1276,11121,59
1277,28435,13
1278,17727,74
1279,6030,85
1280,6026,59
1281,6031,67
1282,11432,114
1283,882,165
1284,6032,70
1285,6027,81
1286,6028,84
1287,2743,198
1288,6066,12
1289,16164,100
1290,6084,46
1291,6085,107
1292,24093,32
1293,22259,5
1294,5935,19
1295,6398,33
1296,6401,19
1297,6402,16
1298,6403,18
1299,2041,14
1300,6404,14
1301,32086,4
1302,32087,5
1303,30967,16
1304,4440,245
1305,23,47
1306,6583,8
1307,14559,16
1308,14890,12
1309,14360,31
1310,13541,33
1311,11488,74
1312,3652,82
1313,14358,35
1314,3758,51
1315,6790,4
1316,15908,44
1317,22512,21
1318,16036,15
1319,16032,11
1320,15923,49
1321,16034,5
1322,5818,205
1323,6223,200
1324,11207,40
1325,2234,30
1326,7527,379
1327,6107,57
1328,3462,46
1329,6090,135
1330,42671,26
1331,1439,55
1332,6293,46
1333,4992,15
1334,3725,322
1335,15072,62
1336,1348,105
1337,7642,32
1338,6332,111
1339,1021,221
1340,9657,136
1341,6308,87
1342,7176,127
1343,7180,136
1344,7177,17
1345,6245,18
1346,6295,14
1347,2764,59
1348,4458,112
1349,15624,43
1350,5884,27
1351,15689,37
1352,6359,40
1353,1625,57
1354,6701,44
1355,6702,49
1356,8355,23
1357,2099,13
1358,6586,35
1359,6587,18
1360,6588,6
1361,6589,42
1362,6590,30
1363,6591,28
1364,6592,21
1365,1357,28
1366,6593,18
1367,30968,7
1368,30969,14
1369,2286,7
1370,30971,15
1371,30936,16
1372,30972,14
1373,21030,56
1374,25119,45
1375,29033,70
1376,6678,109
1377,21801,55
1378,21677,52
1379,21759,52
1380,21462,52
1381,29887,42
1382,4433,71
1383,21359,97
1384,4434,219
1385,4435,99
1386,4436,117
1387,4437,121
1388,4438,82
1389,4439,88
1390,4441,84
1391,4442,52
1392,14649,30
1393,13345,12
1394,1965,134
1395,6384,107
1396,6385,77
1397,6386,95
1398,6387,127
1399,2056,87
1400,6388,78
1401,6389,73
1402,6390,63
1403,19084,39
1404,1844,400
1405,27520,7
1406,2078,6
1407,31843,7
1408,31844,8
1409,28383,4
1410,27188,9
1411,2044,6
1412,33437,8
1413,28404,8
1414,10820,33
1415,26857,7
1416,26858,9
1417,31847,8
1418,28387,7
1419,26859,8
1420,10878,12
1421,11192,7
1422,26860,9
1423,41573,5
1424,15524,14
1425,15546,24
1426,15508,20
1427,7530,22
1428,15507,15
1429,15491,17
1430,15500,13
1431,7529,24
1432,15493,40
1433,15496,9
1434,16778,11
1435,1779,10
1436,15498,10
1437,15497,9
1438,15504,9
1439,15495,9
1440,15494,7
1441,1858,13
1442,15520,11
1443,1833,11
1444,1358,17
1445,15519,16
1446,15492,11
1447,31635,10
1448,1843,9
1449,15551,19
1450,15501,20
1451,15511,14
1452,15506,14
1453,15529,16
1454,15509,12
1455,15513,11
1456,1787,14
1457,15571,15
1458,1716,22
1459,15514,9
1460,15512,17
1461,1784,12
1462,15510,14
1463,15502,9
1464,35077,12
1465,35078,10
1466,15549,12
1467,15516,10
1468,15550,14
1469,31689,11
1470,1881,22
1471,2048,11
1472,31846,10
1473,31842,7
1474,1722,3
1475,31845,6
1476,6088,104
1477,13553,44
1478,11489,79
1479,6606,17
1480,6607,10
1481,6608,10
1482,6609,129
1483,19384,132
1484,19383,84
1485,19655,63
1486,12237,16
1487,1659,20
1488,7212,8
1489,427,359
1490,3081,14
1491,7205,8
1492,2912,11
1493,7206,12
1494,7207,9
1495,7208,13
1496,7263,14
1497,7264,16
1498,7265,12
1499,7266,15
1500,7267,8
1501,3030,12
1502,3031,13
1503,3032,9
1504,3033,13
1505,3034,6
1506,3035,10
1507,3036,11
1508,3037,10
1509,3038,7
1510,348,96
1511,7991,94
1512,8006,83
1513,18665,86
1514,8027,84
1515,8029,84
1516,8026,148
1517,7993,15
1518,7994,18
1519,3280,22
1520,8035,11
1521,29307,9
1522,13192,7
1523,3149,9
1524,29308,12
1525,351,9
1526,354,8
1527,4255,9
1528,3899,7
1529,347,17
1530,3374,102
1531,7057,55
1532,4667,48
1533,7149,36
1534,4671,33
1535,10511,51
1536,10512,29
1537,10513,32
1538,10514,31
1539,32383,2
1540,10515,179
1541,7156,79
1542,4672,34
1543,4666,61
1544,7006,56
1545,7146,34
1546,13073,24
1547,19424,32
1548,1609,16
1549,26071,52
1550,12868,29
1551,21719,27
1552,7046,32
1553,18435,24
1554,3274,104
1555,12957,25
1556,7056,34
1557,3267,58
1558,355,42
1559,4673,23
1560,2690,48
1561,7154,29
1562,4603,91
1563,4604,35
1564,4605,89
1565,4668,33
1566,7147,45
1567,7148,44
1568,17949,21
1569,7044,17
1570,14258,29
1571,14808,17
1572,17948,15
1573,3732,144
1574,9187,49
1575,8265,72
1576,21953,13
1577,6994,45
1578,130,89
1579,4674,36
1580,4669,51
1581,4670,32
1582,7080,29
1583,3277,21
1584,7268,17
1585,7269,17
1586,3130,14
1587,7270,16
1588,7271,15
1589,7272,12
1590,7324,114
1591,7317,56
1592,7357,150
1593,2801,151
1594,2814,160
1595,8345,35
1596,8348,29
1597,11954,32
1598,11955,29
1599,44972,3
1600,6779,64
1601,6780,69
1602,12489,35
1603,12136,45
1604,10106,60
1605,11967,24
1606,12123,29
1607,7025,35
1608,11956,32
1609,12132,13
1610,12139,26
1611,6682,149
1612,4876,93
1613,1324,42
1614,7361,111
1615,7397,13
1616,6624,46
1617,7394,91
1618,1450,97
1619,1552,34
1620,1534,168
1621,1474,99
1622,7391,49
1623,7383,40
1624,7385,9
1625,1569,78
1626,7393,40
1627,1454,78
1628,7366,93
1629,1542,141
1630,7377,41
1631,1399,63
1632,7378,70
1633,10605,41
1634,7664,159
1635,12819,172
1636,7438,10
1637,7449,11
1638,3547,25
1639,7447,10
1640,7448,7
1641,7429,31
1642,7430,10
1643,7432,9
1644,7433,9
1645,7434,14
1646,7435,3
1647,193,35
1648,7431,47
1649,1248,236
1650,7490,13
1651,7491,11
1652,7492,23
1653,7493,14
1654,7494,10
1655,7495,12
1656,7496,31
1657,962,46
1658,964,42
1659,965,24
1660,966,51
1661,961,82
1662,6358,50
1663,6198,38
1664,6360,54
1665,6361,55
1666,6170,43
1667,6209,36
1668,6363,43
1669,6364,43
1670,4802,22
1671,4803,24
1672,4805,19
1673,4806,14
1674,7554,16
1675,4807,27
1676,753,20
1677,7552,19
1678,688,20
1679,7553,20
1680,864,34
1681,3049,33
1682,3151,53
1683,3152,31
1684,3226,26
1685,3225,9
1686,3229,53
1687,3228,38
1688,628,8
1689,19326,55
1690,22614,24
1691,5186,122
1692,28015,61
1693,7599,44
1694,25581,21
1695,25582,22
1696,4996,41
1697,13473,19
1698,7658,33
1699,7657,65
1700,7661,38
1701,7673,26
1702,4030,25
1703,4031,17
1704,4160,32
1705,40973,17
1706,459,263
1707,2650,294
1708,6234,131
1709,6235,172
1710,7709,75
1711,7736,153
1712,5979,271
1713,3688,58
1714,3775,41
1715,3752,44
1716,12793,52
1717,3646,43
1718,3618,60
1719,8844,86
1720,21670,54
1721,3714,69
1722,3622,114
1723,3658,61
1724,40490,14
1725,18578,106
1726,161,667
1727,7844,22
1728,7877,11
1729,7885,22
1730,7830,11
1731,14880,10
1732,7867,15
1733,7833,8
1734,7868,8
1735,7865,4
1736,7835,6
1737,7846,7
1738,31252,3
1739,34541,7
1740,7837,6
1741,14869,4
1742,7838,9
1743,7822,6
1744,7843,4
1745,7841,12
1746,7839,18
1747,7796,13
1748,7847,4
1749,7860,5
1750,14897,7
1751,7827,5
1752,7849,13
1753,14873,19
1754,9676,7
1755,7851,2
1756,7870,3
1757,7884,4
1758,7853,2
1759,7852,7
1760,7880,15
1761,14883,6
1762,7864,8
1763,7836,4
1764,7834,4
1765,7866,6
1766,7858,3
1767,31253,6
1768,7859,2
1769,7912,22
1770,14872,5
1771,7828,3
1772,7856,4
1773,7875,15
1774,14896,9
1775,26770,4
1776,14881,4
1777,14862,4
1778,7871,4
1779,7832,9
1780,7881,9
1781,7878,8
1782,14879,6
1783,7829,2
1784,14876,7
1785,34543,4
1786,9175,11
1787,7857,3
1788,7883,9
1789,7780,22
1790,7882,5
1791,14864,4
1792,7845,9
1793,20115,52
1794,4588,6
1795,8075,30
1796,8303,8
1797,8319,37
1798,3265,42
1799,2697,45
1800,8304,46
1801,8248,7
1802,8156,22
1803,8309,52
1804,8318,50
1805,9421,115
1806,8299,13
1807,8320,41
1808,4865,40
1809,8308,41
1810,4564,5
1811,8313,38
1812,2351,5
1813,8125,178
1814,8221,13
1815,8228,11
1816,2767,25
1817,9133,60
1818,12808,15
1819,35699,28
1820,698,22
1821,731,31
1822,8059,5
1823,8073,11
1824,7199,22
1825,3344,93
1826,15231,43
1827,16377,62
1828,12783,39
1829,23180,27
1830,39511,5
1831,4859,48
1832,4565,10
1833,8302,36
1834,8233,22
1835,2530,14
1836,29709,8
1837,2596,68
1838,7279,18
1839,600,40
1840,23016,22
1841,8254,42
1842,4568,14
1843,7022,35
1844,2751,110
1845,9843,30
1846,7008,19
1847,20834,12
1848,8083,15
1849,7015,17
1850,21088,5
1851,8150,24
1852,8193,33
1853,8134,17
1854,52,150
1855,7178,31
1856,15138,5
1857,20620,26
1858,17961,32
1859,18152,9
1860,20304,4
1861,12346,7
1862,24217,36
1863,4587,9
1864,9387,16
1865,7932,21
1866,8289,45
1867,20770,34
1868,23044,14
1869,23182,10
1870,21688,12
1871,44346,4
1872,7951,28
1873,4589,9
1874,4595,11
1875,24216,19
1876,7330,20
1877,42101,4
1878,4559,8
1879,4554,4
1880,686,58
1881,8315,34
1882,13806,17
1883,4551,66
1884,4584,12
1885,4577,8
1886,4594,20
1887,4582,15
1888,8263,2
1889,4600,5
1890,4599,2
1891,4586,7
1892,40712,2
1893,4591,5
1894,4581,19
1895,4561,7
1896,4562,9
1897,4574,30
1898,4552,17
